epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,66446.9,0.95457,1.25103,1.19127,0.62192,0.41536,0.45403,0.30656,1.14666,3.8579,1.27599,4.0831e-05,4.0831e-05,4.0831e-05
72,67113.2,0.93901,1.21783,1.19008,0.59978,0.42605,0.4584,0.31542,1.15691,3.9476,1.26883,3.95143e-05,3.95143e-05,3.95143e-05
73,67787.7,0.95996,1.22457,1.19141,0.51199,0.51159,0.45883,0.3196,1.16483,3.83099,1.26446,3.81976e-05,3.81976e-05,3.81976e-05
74,68507.4,0.96601,1.22099,1.18926,0.58766,0.43778,0.46921,0.32874,1.20457,3.86207,1.29506,3.68809e-05,3.68809e-05,3.68809e-05
75,69188.8,0.94424,1.20292,1.17816,0.64226,0.39236,0.4561,0.32787,1.16876,3.82256,1.25789,3.55642e-05,3.55642e-05,3.55642e-05
76,69884.9,0.95172,1.19277,1.18542,0.61553,0.4434,0.47571,0.32579,1.17215,3.86379,1.27249,3.42475e-05,3.42475e-05,3.42475e-05
77,70548.9,0.93052,1.19479,1.18102,0.58646,0.44363,0.47785,0.32984,1.1565,3.92992,1.2526,3.29308e-05,3.29308e-05,3.29308e-05
78,71273.9,0.95572,1.19267,1.18995,0.65441,0.41333,0.47738,0.32844,1.15142,3.87598,1.25782,3.16141e-05,3.16141e-05,3.16141e-05
79,72118.8,0.94131,1.17042,1.17529,0.61875,0.4557,0.47733,0.3367,1.14126,3.77916,1.25444,3.02974e-05,3.02974e-05,3.02974e-05
80,72904.3,0.93625,1.19311,1.17291,0.64208,0.41765,0.47313,0.32806,1.17888,3.71058,1.27892,2.89807e-05,2.89807e-05,2.89807e-05
81,73727.9,0.95238,1.16495,1.17757,0.51806,0.52379,0.48114,0.32923,1.15517,3.64427,1.2658,2.7664e-05,2.7664e-05,2.7664e-05
82,74518.3,0.92434,1.16255,1.16538,0.63825,0.4354,0.481,0.33606,1.15855,3.69848,1.26226,2.63473e-05,2.63473e-05,2.63473e-05
83,75217.2,0.93572,1.16558,1.16819,0.59883,0.41714,0.46958,0.32121,1.1753,3.69469,1.27475,2.50306e-05,2.50306e-05,2.50306e-05
84,76046.6,0.91906,1.15356,1.16333,0.68567,0.39658,0.46205,0.32451,1.15111,3.70423,1.25715,2.37139e-05,2.37139e-05,2.37139e-05
85,76904,0.92099,1.15284,1.17087,0.67165,0.40237,0.47567,0.32782,1.17053,3.67769,1.26206,2.23972e-05,2.23972e-05,2.23972e-05
86,77777.1,0.91909,1.13909,1.16759,0.65449,0.40322,0.47265,0.33085,1.15152,3.62025,1.25369,2.10805e-05,2.10805e-05,2.10805e-05
87,78666.6,0.89844,1.13709,1.15665,0.56976,0.4748,0.47708,0.33626,1.15246,3.59634,1.25507,1.97638e-05,1.97638e-05,1.97638e-05
88,79497.8,0.90546,1.11885,1.15939,0.58197,0.4624,0.48093,0.34349,1.15821,3.65322,1.26234,1.84471e-05,1.84471e-05,1.84471e-05
89,80354.8,0.90197,1.11689,1.15825,0.64705,0.44127,0.47452,0.33521,1.16674,3.65672,1.27417,1.71304e-05,1.71304e-05,1.71304e-05
90,81180.3,0.92406,1.13383,1.15601,0.57779,0.45946,0.47439,0.33319,1.16154,3.5949,1.27161,1.58137e-05,1.58137e-05,1.58137e-05
91,82019.4,0.93851,1.09281,1.19733,0.67121,0.40547,0.46956,0.32627,1.19487,4.08346,1.2997,1.4497e-05,1.4497e-05,1.4497e-05
92,82752.5,0.90938,1.04595,1.1742,0.63957,0.41771,0.47533,0.33187,1.18664,4.0625,1.29291,1.31803e-05,1.31803e-05,1.31803e-05
93,83499.9,0.87604,0.9829,1.13926,0.56399,0.44645,0.47413,0.33788,1.17729,4.08472,1.2765,1.18636e-05,1.18636e-05,1.18636e-05
94,84286.8,0.87355,1.01439,1.14925,0.58463,0.44106,0.48979,0.34836,1.18222,4.00973,1.27056,1.05469e-05,1.05469e-05,1.05469e-05
95,84999.4,0.88416,1.0021,1.1548,0.56375,0.46066,0.48702,0.34324,1.18913,4.08412,1.27975,9.2302e-06,9.2302e-06,9.2302e-06
96,85787.6,0.8798,1.00567,1.15633,0.56691,0.4612,0.47834,0.3364,1.19358,4.06447,1.28176,7.9135e-06,7.9135e-06,7.9135e-06
97,86607.2,0.87665,0.9741,1.14419,0.56329,0.46008,0.47717,0.33571,1.19714,4.0272,1.2832,6.5968e-06,6.5968e-06,6.5968e-06
98,87449.2,0.8614,0.98781,1.13646,0.66818,0.41675,0.48233,0.34071,1.18733,3.9766,1.27781,5.2801e-06,5.2801e-06,5.2801e-06
99,88199.3,0.87583,0.9696,1.14816,0.66284,0.42287,0.48226,0.34006,1.18556,3.99498,1.27594,3.9634e-06,3.9634e-06,3.9634e-06
100,88996.1,0.85017,0.95707,1.13267,0.67099,0.41935,0.48491,0.34199,1.18335,4.00236,1.27384,2.6467e-06,2.6467e-06,2.6467e-06
